级别	日期和时间	来源	事件 ID	任务类别
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 CROP 1: CRD_CACHE_HIT_FROM_OTHER_GPC

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 CROP 1: Graphics is hung, FATAL!!

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 CROP 1: CRD_DEAD_TAGS

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception: ESR 0x523838=0xffffffff

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 0: HUNG_ON_NIL_THREAD_RDAT

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 0: HUNG_ON_IL_THREAD_RDAT

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 0: ZWRRAM_ORPHANS

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 0: RDAT_ORPHANS

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 0: EOZP_MISMATCH

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 0: RDAT_ORPHANS

消息资源存在，但在消息表中找不到该消息。
"
